zone,crop,crop_equivalent_low,crop_equivalent_kg_person_year,crop_equivalent_high
4. South East,Cowpea,10.64250789557178,10.64250789557178,10.64250789557178
4. South East,Groundnut,1.8319937453111401,1.910224989404937,1.988456233498734
4. South East,Maize,9.978162041167586,10.628347634109883,11.291799115459686
4. South East,Millet,0.0812442384150188,0.0812442384150188,0.0812442384150188
4. South East,Plantain,7.557472482331636,7.557472482331636,7.557472482331636
4. South East,Potato,0.16690577743727125,0.16690577743727125,0.16690577743727125
4. South East,Rice,27.282577889222363,27.282577889222363,27.282577889222363
4. South East,Sorghum,0.07798947570715124,0.07798947570715124,0.07798947570715124
4. South East,Soybean,0.11562215960136013,0.11562215960136013,0.11562215960136013
4. South East,Sweet potato,3.7697485062631144,3.7697485062631144,3.7697485062631144
4. South East,Wheat,0.3365584778889989,0.37648914475718526,0.3964544781912784
4. South East,Yam,54.33590844825682,54.35037888208088,54.368225750463886
5. South South,Cassava,190.9062364258817,233.8460665047694,298.10131170034316
5. South South,Cocoyam,3.0189259187825646,3.0189259187825646,3.0189259187825646
5. South South,Cowpea,17.681631835258813,17.681631835258813,17.681631835258813
5. South South,Groundnut,3.7105770199610344,3.8690797541550106,4.027582488348987
5. South South,Maize,5.270082223309679,5.596651196837021,5.9263396950608795
5. South South,Millet,0.6494445880467145,0.6494445880467145,0.6494445880467145
5. South South,Plantain,22.006870554662584,22.006870554662584,22.006870554662584
5. South South,Potato,0.15021827178367897,0.15021827178367897,0.15021827178367897
5. South South,Rice,28.63346455436293,28.63346455436293,28.63346455436293
5. South South,Sorghum,0.2296993667117127,0.2296993667117127,0.2296993667117127
5. South South,Soybean,0.06459709671780946,0.06459709671780946,0.06459709671780946
5. South South,Sweet potato,4.284665625002211,4.284665625002211,4.284665625002211
5. South South,Wheat,0.5993282208680115,0.6704349589370977,0.7059883279716407
5. South South,Yam,45.09139792090108,45.29792838824831,45.552649297976565
6. South West,Cassava,87.45315573192134,106.14086051299026,133.37307443227357
6. South West,Cocoyam,1.920768355838671,1.920768355838671,1.920768355838671
6. South West,Cowpea,15.229537142448535,15.229537142448535,15.229537142448535
6. South West,Groundnut,0.4401071547286252,0.4464646633488751,0.452822171969125
6. South West,Maize,6.0040440520850815,6.399561774295004,6.830618379704853
6. South West,Millet,0.33566174852809133,0.33566174852809133,0.33566174852809133
6. South West,Plantain,6.902352852285583,6.902352852285583,6.902352852285583
6. South West,Potato,0.227118636734423,0.227118636734423,0.227118636734423
6. South West,Rice,22.864929690800174,22.864929690800174,22.864929690800174
6. South West,Sorghum,0.975804944350162,0.975804944350162,0.975804944350162
6. South West,Soybean,0.04454074710929908,0.04454074710929908,0.04454074710929908
6. South West,Sweet potato,2.2353029377614764,2.2353029377614764,2.2353029377614764
6. South West,Wheat,2.4272648275241226,2.7152454002812223,2.8592356866597717
6. South West,Yam,69.37831676073351,70.77686161786735,72.50173360833244
